id,answer,question_type,grade,choices,question,nhan_biet,thong_hieu,van_dung,van_dung_cao,dang_cau_hoi,Qwen/Qwen2.5-3B_response,Qwen/Qwen2.5-3B_answer
history-2020-303-14,C,multiple_choice,12.0,"['biển miền Nam thành thị trường xuất khẩu duy nhất.', 'biến miền Nam thành căn cứ quân sự duy nhất.', 'chia cất lâu dài đất nước Việt Nam.', 'biển miền Nam thành đồng mình duy nhất.']",Một trong những âm mưu của Mĩ khi tiến hành chiến tranh xâm lược Việt Nam trong thời kì 1954-1975 là,,1.0,,,Trắc Nghiệm/Nội dung Ngắn,"    [C]  
    Reasoning:  
    - The U.S. aimed to divide Vietnam into two parts, with the South becoming a puppet state and the North under communist control.  
    => Correct answer: C",C
history-2020-302-6,B,multiple_choice,12.0,"['thị trường xuất khẩu duy nhất.', 'căn cứ quân sự của Mĩ ở Đông Nam Á.', 'đồng minh duy nhất.', 'căn cứ quân sự duy nhất.']",Một trong những âm mưu của Mĩ trong thời kì 1954-1975 là biến miền Nam Việt Nam thành,,1.0,,,Trắc Nghiệm/Nội dung Ngắn,"    [B]  
    Reasoning:  
    - During the Vietnam War, the United States aimed to establish a military base in Southeast Asia.  
    => Correct answer: B",B
history-2020-304-1,A,multiple_choice,12.0,"['thuộc địa kiểu mới.', 'căn cứ quân sự duy nhất.', 'thị trường xuất khẩu duy nhất.', 'đồng minh duy nhất.']",Một trong những âm mưu của Mĩ trong thời kì 1954-1975 là biến miền Nam Việt Nam thành,,1.0,,,Trắc Nghiệm/Nội dung Ngắn,"    [A]  
    Reasoning:  
    - The U.S. aimed to create a new type of colony in South Vietnam during the 1954-1975 period.  
    => Correct answer: A",A
history-2020-301-8,B,multiple_choice,12.0,"['thị trường xuất khẩu duy nhất.', 'căn cứ quân sự của Mĩ ở Đông Dương.', 'đồng minh duy nhất.', 'căn cứ quân sự duy nhất.']",Một trong những âm mưu của Mĩ trong thời kì 1954-1975 là biển miền Nam Việt Nam thành,,1.0,,,Trắc Nghiệm/Nội dung Ngắn,    [B],B
history-2023-303-21,D,multiple_choice,12.0,"['Thực dân Hà Lan.', 'Braxin.', 'Nicaragoa.', 'Thực dân Pháp.']","Ngay sau Cách mạng tháng Tám năm 1945, nước Việt Nam Dân chủ Cộng hòa phải đối phó với kẻ thù nào sau đây?",1.0,,,,Trắc Nghiệm/Nội dung Ngắn,    [D],D
history-2024-304-33,D,multiple_choice,12.0,"['Nhiều nước đã thực hiện thành công cách mạng vô sản.', 'Các mô hình nhà nước tư sản đã lạc hậu với thời đại.', 'Các khuynh hướng cứu nước khác đã trở nên lỗi thời.', 'Tác động của thời đại mới và yêu cầu của lịch sử dân tộc.']",Nguyễn Ái Quốc lựa chọn con đường cách mạng vô sản cho nhân dân Việt Nam (1920) vì một trong những lí do nào sau đây?,,1.0,,,Bối cảnh/Nguyên nhân,"    [D]  
    Reasoning:  
    - The 1920s saw the rise of the Communist movement globally.  
    - The Russian Revolution of 1917 demonstrated the potential of a proletarian revolution.  
",D
history-2023-303-32,C,multiple_choice,12.0,"['Đảng và Chính phủ đã chọn đúng thời cơ để phát động cuộc kháng chiến.', 'công cuộc chuẩn bị kháng chiến lâu dài của Việt Nam đã hoàn thiện.', 'nhân dân Việt Nam quyết không nhượng bộ lợi ích tối cao của dân tộc.', 'âm mưu câu kết giữa thực dân Pháp và quân Trung Hoa dân quốc đã thất bại.']","Ngày 19-12-1946, thay mặt Trung ương Đảng và Chính phủ, Chủ tịch Hồ Chí Minh phát động toàn quốc kháng chiến chống thực dân Pháp cho thấy",,,1.0,,Đánh giá,"    [C]  
    Reasoning:  
    - The statement emphasizes the determination of the Vietnamese people to resist the French colonialists without compromising their national interests.  
    => Correct answer: C",C
history-2020-301-31,A,multiple_choice,12.0,"['Nhân dân Việt Nam đang tránh việc đối đầu với nhiều kẻ thù cùng một lúc.', 'Chính phủ Pháp có thiện chí giữ gìn nền hòa bình ở Đông Dương.', 'quân dân Việt Nam vẫn đang phát triển thế chủ động tiến công.', 'Trung Hoa Dân quốc không đồng ý cho quân Pháp ra miền Bắc Việt Nam.']","Ngày 6-3-1946, Hiệp định Sơ bộ được kí kết giữa đại diện Chính phủ Việt Nam Dân chủ Cộng hòa với đại diện Chính phủ Pháp khi",,,1.0,,Bối cảnh/Nguyên nhân,"    [C]  
    Reasoning:  
    - The Viet Minh was still in a position to launch a successful offensive.  
    => Correct answer: C",C
history-2020-302-26,B,multiple_choice,12.0,"['Trung Hoa Dân quốc không đồng ý cho quân Pháp ra miền Bắc Việt Nam.', 'Pháp và Trung Hoa Dân quốc đã kí bản Hiệp ước Hoa Pháp.', 'Chính phủ Pháp có thiện chí giữ gìn nền hòa bình ở Đông Dương.', 'quân dân Việt Nam vẫn đang phát triển thế chủ động tiến công.']","Ngày 6-3-1946, Hiệp định Sơ bộ được kí kết giữa đại diện Chính phủ Việt Nam Dân chủ Cộng hòa với đại diện Chính phủ Pháp khi",,,1.0,,Bối cảnh/Nguyên nhân,"    [C]  
    Reasoning:  
    - The agreement was signed on March 6, 1946, between the Vietnamese government and the French government.  
    - The context suggests that the French were willing to maintain peace",C
history-2020-304-29,B,multiple_choice,12.0,"['quân dân Việt Nam vẫn đang phát triển thế chủ động tiến công.', 'Nhân dân Việt Nam đang cần thêm thời gian hòa bình để chuẩn bị lực lượng.', 'Trung Hoa Dân quốc không đồng ý cho quân Pháp ra miền Bắc Việt Nam.', 'Chính phủ Pháp có thiện chỉ giữ gìn nền hòa bình ở Đông Dương.']","Ngày 6-3-1946, Hiệp định Sơ bộ được kí kết giữa đại diện Chính phủ Việt Nam Dân chủ Cộng hòa với đại diện Chính phủ Pháp khi",,,1.0,,Bối cảnh/Nguyên nhân,"    [A]  
    Reasoning:  
    - The agreement was signed during the early stages of the war, when the Viet Minh was still advancing.  
    => Correct answer: A",A
history-2020-303-27,C,multiple_choice,12.0,"['Trung Hoa Dân quốc không đồng ý cho Pháp đưa quân ra miền Bắc Việt Nam.', 'Chính phủ Pháp có thiện chí giữ gìn nền hòa bình ở Đông Dương.', 'Trung Hoa Dân quốc đã thỏa thuận cho Pháp đưa quân ra miền Bắc Việt Nam.', 'quân dân Việt Nam vẫn đang phát triển thể chủ động tiến công.']","Ngày 6-3-1946, Hiệp định Sơ bộ được kí kết giữa đại diện Chính phủ Việt Nam Dân chủ Cộng hòa với đại diện Chính phủ Pháp khí",,,1.0,,Bối cảnh/Nguyên nhân,"    [B]  
    Reasoning:  
    - The agreement was signed between the Vietnamese government and the French government.  
    - The French government had a willingness to maintain peace in Indochina.  
    => Correct answer: B",B
history-2023-302-20,C,multiple_choice,12.0,"['Xây dựng khu giải phóng Việt Bắc', 'Chống phát xít Đức xâm lược', 'Đấu tranh bảo vệ biên giới Tổ quốc', 'Lập chính quyền Xô viết Nghệ Tĩnh']",Nhiệm vụ nào sau đây được nhân dân Việt Nam thực hiện trong những năm 1975-1979?,1.0,,,,Sự kiện / Hoạt động,"    [C]  
    Reasoning:  
    - In the 1970s, the Vietnamese people were engaged in border defense against the People's Republic of China.  
    => Correct answer: C",C
history-2024-302-14,D,multiple_choice,12.0,"['Đánh đuổi quân Đức.', 'Đánh đuổi quân phiệt Nhật Bản.', 'Tiến hành cách mạng công nghiệp 4.0.', 'Giải phóng đất đai.']",Nhiệm vụ nào sau đây được quân dân Việt Nam thực hiện trong đông – xuân 1953 - 1954?,1.0,,,,Sự kiện / Hoạt động,"    [A]  
    Reasoning:  
    - The question refers to the period of 1953-1954, which was during the Vietnam War.  
    - During this time, the Vietnamese people and their allies",A
history-2023-303-30,C,multiple_choice,12.0,"['Chiến tranh thế giới thứ nhất kết thúc.', 'Ngân sách đầu tư cho quốc phòng thấp.', 'Chính sách quản lí có hiệu quả của nhà nước.', 'Bị chủ nghĩa khủng bố quốc tế tấn công.']",Nhân tố nào sau đây thúc đẩy sự phát triển kinh tế Mĩ trong những năm 1945-1973?,,1.0,,,Bối cảnh/Nguyên nhân,"    [C]  
    Reasoning:  
    - The 1945-1973 period saw significant economic growth in the United States due to effective government management policies.  
    - The other options do not directly contribute to",C
history-2021-303-37,C,multiple_choice,12.0,"['Chuyển Pháp từ vị trí đối tác trở thành đối tượng của cách mạng Việt Nam.', 'Công nhận Việt Nam là một quốc gia tự do, có quyền dân tộc tự quyết.', 'Biến một hiệp ước hai bên thành thỏa thuận ba bên có lợi cho cách mạng.', 'Là sách lược của Việt Nam để tiếp tục kéo dài thời gian hòa hoãn với Pháp.']",Nhận xét nào sau đây là đúng về bản Hiệp định Sơ bộ Việt-Pháp (ngày 6-3-1946)?,,1.0,,,Đánh giá,"    [B]  
    Reasoning:  
    - The agreement recognized Vietnam as a free and independent nation, granting it the right to self-determination.  
    => Correct answer: B",B
history-2021-302-31,C,multiple_choice,12.0,"['Chuyển Pháp từ vị trí đối tác trở thành đối tượng của cách mạng Việt Nam.', 'Là sách lược của Việt Nam để tiếp tục kéo dài thời gian hòa hoãn với Pháp.', 'Chuyển quan hệ giữa Việt Nam và Pháp từ đổi đầu quân sự sang đối thoại.', 'Công nhận Việt Nam là một quốc gia tự do, có quyền dân tộc tự quyết.']",Nhận xét nào sau đây là đúng về bản Hiệp định Sơ bộ Việt-Pháp (ngày 6-3-1946)?,,1.0,,,Đánh giá,"    [D]  
    Reasoning:  
    - The agreement recognized Vietnam as a free and independent nation, with the right to self-determination.  
    => Correct answer: D",D
history-2021-304-35,B,multiple_choice,12.0,"['Chuyển Pháp từ vị trí đối tác trở thành đối tượng của cách mạng Việt Nam.', 'Là điển hình thành công về vận dụng sách lược phân hóa và cô lập kẻ thù.', 'Là sách lược của Việt Nam để tiếp tục kéo dài thời gian hòa hoãn với Pháp.', 'Công nhận Việt Nam là một quốc gia tự do, có quyền dân tộc tự quyết.']",Nhận xét nào sau đây là đúng về bản Hiệp định Sơ bộ Việt-Pháp (ngày 6-3-1946)?,,1.0,,,Đánh giá,"    [D]  
    Reasoning:  
    - The agreement recognized Vietnam as a free and independent nation, with the right to self-determination.  
    => Correct answer: D",D
history-2021-301-36,A,multiple_choice,12.0,"['Là điển hình về sự chủ động của Chính phủ Việt Nam trong đấu tranh ngoại giao.', 'Là sách lược của Việt Nam để tiếp tục kéo dài thời gian hòa hoãn với Pháp.', 'Công nhận Việt Nam là một quốc gia tự do, có quyền dân tộc tự quyết.', 'Chuyển Pháp từ vị trí đối tác trở thành đối tượng của cách mạng Việt Nam.']",Nhận xét nào sau đây là đúng về bản Hiệp định Sơ bộ Việt-Pháp (ngày 6-3-1946)?,,1.0,,,Đánh giá,"    [A]  
    Reasoning:  
    - The agreement was signed by the French and Vietnamese governments.  
    - It recognized Vietnam as a sovereign nation with the right to self-determination.  
    - The Vietnamese government was actively involved",A
history-2023-302-35,D,multiple_choice,12.0,"['Góp phần bảo vệ công cuộc xây dựng chủ nghĩa xã hội ở miền Bắc', 'Mở ra bước ngoặt quan trọng của cuộc kháng chiến chống Mĩ, cứu nước.', 'Buộc đế quốc Mĩ phải chấp nhận một giải pháp về ngoại giao với Việt Nam.', 'Đưa đấu tranh ngoại giao trở thành mặt trận quyết định của cuộc kháng chiến.']",Nhận xét nào sau đây phản ánh không đúng ý nghĩa cuộc Tổng tiến công và nổi dậy Xuân Mậu Thân 1968 của quân dân miền Nam Việt Nam?,,1.0,,,Đánh giá,"    [B]  
    Reasoning:  
    - The 1968 Spring Mậu Thân Offensive was a significant turning point in the Vietnam War.  
    - It marked the beginning of the end for the US military presence in",B
history-2023-301-39,D,multiple_choice,12.0,"['Là nỗ lực cao nhất, cuối cùng của đế quốc Mĩ và quân đội Sài Gòn trong chiến tranh ở Việt Nam.', 'Là thắng lợi quân sự quyết định tạo thời cơ chiến lược tiến lên giải phóng hoàn toàn miền Nam.', 'Tạo thế và lực để Việt Nam bắt đầu đẩy mạnh cuộc đấu tranh ngoại giao ở Hội nghị Pari.', 'Là thắng lợi quân sự quyết định góp phần bảo vệ các quyền dân tộc cơ bản của Việt Nam.']","Nhận định nào sau đây là đúng về chiến thắng “Điện Biên Phủ trên không"" (1972) của quân dân Việt Nam?",,1.0,,,Đánh giá,"    [C]  
    Reasoning:  
    - The victory of the ""Hanoi Sky Battle"" (1972) was a significant military victory for the Vietnamese people.  
    - It was a decisive military victory that created strategic",C
history-2024-303-33,D,multiple_choice,12.0,"['Đã tập trung hoàn thành triệt để khẩu hiệu “người cày có ruộng”.', 'Thể hiện sự nhạy bén và linh hoạt của Việt Nam về thay đổi đường lối chiến lược cách mạng.', 'Chứng tỏ vai trò của Đảng trong việc hoàn thiện đường lối chung của cách mạng Đông Dương.', 'Định hướng và thúc đẩy sự phát triển của chế độ dân chủ nhân dân.']",Nhận định nào sau đây là đúng về Đại hội đại biểu lần thứ II của Đảng Cộng sản Đông Dương (2-1951)?,,1.0,,,Đánh giá,"    [C]  
    Reasoning:  
    - The Second Congress of the Communist Party of Indochina (1951) focused on consolidating the party's leadership and formulating a new strategy.  
    - It emphasized the",C
history-2023-303-35,B,multiple_choice,12.0,"['Diễn ra trong bối cảnh cuộc Chiến tranh lạnh đang leo thang trên phạm vi thế giới.', 'Đưa cuộc chiến tranh cách mạng ở miền Nam đồng loạt tiến lên khởi nghĩa giành chính quyền.', 'Là cao trào đấu tranh của quần chúng nhân dân bao gồm những cuộc khởi nghĩa từng phần.', 'Đấu tranh chính trị là phương thức chủ yếu, có sự hỗ trợ của lực lượng vũ trang.']",Nhận định nào sau đây phản ánh không đúng về phong trào Đồng khởi (1959-1960) ở miền Nam Việt Nam?,,1.0,,,Đánh giá,"    [C]  
    Reasoning:  
    - The question asks for a statement that does not accurately reflect the Dong Xoai (1959-1960) movement in the South.  
    - Option A is",C
history-2024-304-22,D,multiple_choice,12.0,"['Quý tộc mới.', 'Quý tộc quân phiệt.', 'Giai cấp tư sản.', 'Văn thân, sĩ phu.']","Năm 1885, Tôn Thất Thuyết lấy danh nghĩa vua Hàm Nghi xuống chiếu Cần vương, kêu gọi lực lượng nào sau đây đứng lên chống Pháp?",1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"    [B]  
    Reasoning:  
    - Tôn Thất Thuyết was a member of the Trinh family, a powerful noble family in Vietnam.  
    - He led the Cần Vương movement, which aimed to resist French colonial",B
history-2023-302-6,D,multiple_choice,12.0,"['Kêu gọi nhân dân tăng gia sản xuất', 'Đọc Lời kêu gọi toàn quốc kháng chiến', 'Soạn thảo bản Tuyên ngôn độc lập', 'Tham gia sáng lập Đảng Cộng sản Pháp']","Năm 1920, Nguyễn Ái Quốc có hoạt động nào sau đây?",1.0,,,,Sự kiện / Hoạt động,"    [B]  
    Reasoning:  
    - In 1920, Nguyễn Ái Quốc was in France and was involved in the activities of the French Communist Party.  
    - He read the ""Appeal to the Chinese",B
history-2023-303-39,D,multiple_choice,12.0,"['Là lí luận được hầu hết các dân tộc thuộc địa đã lựa chọn để cứu nước.', 'Là con đường cách mạng duy nhất giúp các dân tộc thuộc địa tự giải phóng.', 'Đáp ứng được yêu cầu giải phóng của tất cả giai cấp trong xã hội Việt Nam.', 'Là con đường cách mạng chủ trương giải phóng nhân dân lao động.']","Năm 1920, Nguyễn Ái Quốc đã chọn con đường cách mạng vô sản cho dân tộc Việt Nam vì lí do nào sau đây?",,1.0,,,Bối cảnh/Nguyên nhân,"    [D]  
    Reasoning:  
    - Nguyễn Ái Quốc chọn con đường cách mạng vô sản vì nó đáp ứng được yêu cầu giải phóng của tất cả giai cấp trong xã hội Việt Nam.  
    - Con đường này",D
history-2022-303-24,C,multiple_choice,12.0,"['Pêru', 'Panama', 'Nga Xô viết', 'Côlômbia']","Năm 1921, Chính sách kinh tế mới (NEP) đã tạo ra chuyển biến tích cực trong nền kinh tế của nước nào sau đây?",1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"    [C]  
    Reasoning:  
    - The New Economic Policy (NEP) was implemented in the Soviet Union in 1921.  
    - It allowed for the development of private enterprise and trade, which helped to",C
history-2024-304-7,C,multiple_choice,12.0,"['Trung ương Cục miền Nam.', 'Trung đội Cứu quốc quân II.', 'An Nam Cộng sản đảng.', 'Quân giải phóng miền Nam.']","Năm 1929, tổ chức nào sau đây của Việt Nam được thành lập?",1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"    [C]  
    Reasoning:  
    - In 1929, the An Nam Communist Party was established in Vietnam.  
    => Correct answer: C",C
history-2024-303-30,C,multiple_choice,12.0,"['Việt Nam Quốc dân đảng.', 'Đảng Lập hiến.', 'Đông Dương Cộng sản đảng.', 'Đảng Thanh niên.']","Năm 1929, tổ chức nào sau đây được thành lập ở Việt Nam theo khuynh hướng vô sản?",1.0,,,,Trắc Nghiệm/Nội dung Ngắn,    [C],C
history-2023-304-16,D,multiple_choice,12.0,"['Ba Đình.', 'Hương Khê.', 'Hùng Lĩnh.', 'Yên Bái.']","Năm 1930, Việt Nam Quốc dân đảng lãnh đạo cuộc khởi nghĩa",1.0,,,,Trắc Nghiệm/Nội dung Ngắn,    [D],D
history-2022-303-7,D,multiple_choice,12.0,"['Thụy Sĩ.', 'Na Uy.', 'Thụy Điển.', 'Lào.']","Năm 1941, Hội nghị lần thứ 8 Ban Chấp hành Trung ương Đảng Cộng sản Đông Dương chủ trương giúp đỡ việc lập mặt trận ở nước nào sau đây?",1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"    [B]  
    Reasoning:  
    - The 1941 meeting of the Central Committee of the Communist Party of Vietnam decided to support the establishment of a front in Norway.  
    => Correct answer: B",B
history-2023-301-35,A,multiple_choice,12.0,"['Phát triển, củng cố tiềm lực và mở rộng trận địa cách mạng.', 'Giành được chính quyền ở một số thành phố lớn, mở rộng căn cứ địa cách mạng.', 'Mở rộng chiến khu cách mạng, tiến lên đánh đuổi Pháp-Nhật.', 'Thúc đẩy nhanh quá trình thành lập mặt trận thống nhất ba dân tộc Đông Dương.']","Năm 1945 ở Việt Nam, khởi nghĩa từng phần có đóng góp nào sau đây đối với cuộc Tổng khởi nghĩa tháng Tám?",,,1.0,,Kết quả / Ý nghĩa / Vai trò,"    [B]  
    Reasoning:  
    - The 1945 uprisings in Vietnam, particularly the ""partisan"" uprisings, contributed to the August Revolution by seizing power in several major cities, expanding the revolutionary",B
history-2023-302-2,D,multiple_choice,12.0,"['Nhật Bản', 'Anh', 'Đức', 'Inđônêxia']","Năm 1945, quốc gia nào sau đây ở khu vực Đông Nam Á tuyên bố độc lập?",1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"    [D]  
    Reasoning:  
    - Indonesia declared independence in 1945, becoming the first country in Southeast Asia to do so.  
    => Correct answer: D",D
history-2023-303-19,D,multiple_choice,12.0,"['Canada.', 'Hà Lan.', 'Áo.', 'Mĩ.']","Năm 1947, quốc gia nào sau đây phát động cuộc Chiến tranh lạnh chống Liên Xô?",1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"    [D]  
    Reasoning:  
    - The United States, led by President Harry S. Truman, initiated the Cold War against the Soviet Union and its allies.  
    => Correct answer: D",D
history-2020-302-3,B,multiple_choice,12.0,"['Phần Lan.', 'Mĩ.', 'Đan Mạch.', 'Thái Lan.']","Năm 1948, sản lượng công nghiệp của quốc gia nào sau đây chiếm hơn 50% sản lượng công nghiệp toàn thế giới?",1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"    [B]  
    Reasoning:  
    - In 1948, the United States had the largest industrial output in the world, accounting for more than 50% of global industrial production.  
    => Correct answer:",B
history-2020-303-17,B,multiple_choice,12.0,"['Thụy Điển.', 'Liên Xô.', 'Thụy Sĩ.', 'Đan Mạch.']","Năm 1949, quốc gia nào sau đây chế tạo thành công bom nguyên tử?",1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"    [B]  
    Reasoning:  
    - The Soviet Union was the first country to successfully develop and test an atomic bomb.  
    => Correct answer: B",B
history-2020-301-15,D,multiple_choice,12.0,"['Hà Lan.', 'Thụy Sĩ.', 'Thụy Điển.', 'Liên Xô.']","Năm 1949, quốc gia nào sau đây phá vỡ thể độc quyền vũ khí nguyên tử của Mĩ?",1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"    [D]  
    Reasoning:  
    - The Soviet Union was the first country to develop and test an atomic bomb.  
    - It was a significant achievement in the arms race with the United States.  
    => Correct answer:",D
history-2020-302-8,B,multiple_choice,12.0,"['Bỉ.', 'Anh.', 'Bồ Đào Nha.', 'Tây Ban Nha.']","Năm 1950, nhân dân Ấn Độ giành được độc lập từ thực dân nào sau đây?",1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"    [B]  
    Reasoning:  
    - India gained independence from British colonial rule in 1947.  
    => Correct answer: B",B
history-2022-302-7,D,multiple_choice,12.0,"['Đánh bại cuộc hành quân của Mĩ vào An Lão', 'Đánh bại cuộc tập kích của không quân Mĩ', 'Chiến thắng Vạn Tường', 'Kí Hiệp định Giơnevơ']","Năm 1954, nhân dân Việt Nam giành được thắng lợi ngoại giao nào sau đây?",1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"    [D]  
    Reasoning:  
    - The Geneva Conference in 1954 resulted in the partition of Vietnam into North and South.  
    => Correct answer: D",D
history-2023-303-10,A,multiple_choice,12.0,"['Mở chiến dịch Điện Biên Phủ.', 'Gia nhập tổ chức Liên hợp quốc.', 'Gia nhập tổ chức Thương mại Thế giới.', 'Phát động phong trào “Tuần lễ vàng"".']","Năm 1954, quân dân Việt Nam có hoạt động quân sự nào sau đây?",1.0,,,,Sự kiện / Hoạt động,"    [A]  
    Reasoning:  
    - In 1954, the Việt Minh launched the Dien Bien Phu Campaign, which was a significant military operation.  
    => Correct answer: A",A
history-2024-303-3,B,multiple_choice,12.0,"['Đồng Xoài.', 'Điện Biên Phủ.', 'Huế – Đà Nẵng.', 'Vạn Tường.']","Năm 1954, quân dân Việt Nam giành được chiến thắng nào sau đây?",1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"    [B]  
    Reasoning:  
    - The Battle of Dien Bien Phu was a decisive victory for the Viet Minh against the French colonial forces in 1954.  
    => Correct answer: B",B
history-2023-302-14,A,multiple_choice,12.0,"['Xây dựng tập đoàn cứ điểm Điện Biên Phủ', 'Kí với triều đình nhà Nguyễn Hiệp ước Giáp Tuất', 'Rút toàn bộ quân đội ra khỏi miền Bắc Việt Nam', 'Rút toàn bộ quân đội ra khỏi ba nước Đông Dương']","Năm 1954, thực dân Pháp có hoạt động nào sau đây?",1.0,,,,Sự kiện / Hoạt động,    [C],C
history-2020-304-6,C,multiple_choice,12.0,"['Thụy Điển.', 'Hà Lan.', 'Liên Xô.', 'Thụy Sĩ.']","Năm 1957, quốc gia nào sau đây phóng thành công vệ tinh nhân tạo lên quỹ đạo Trái Đất?",1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"    [C]  
    Reasoning:  
    - In 1957, the Soviet Union launched Sputnik 1, the first artificial satellite, into Earth's orbit.  
    => Correct answer: C",C
history-2023-302-21,A,multiple_choice,12.0,"['Liên Xô', 'Môdămbích', 'Bồ Đào Nha', 'Xudăng']","Năm 1957, quốc gia nào sau đây phóng thành công vệ tỉnh nhân tạo?",1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"    [A]  
    Reasoning:  
    - In 1957, the Soviet Union launched the first artificial satellite, Sputnik 1.  
    => Correct answer: A",A
history-2020-301-3,B,multiple_choice,12.0,"['Lào.', 'Cuba.', 'Inđônêxia.', 'Campuchia.']","Năm 1959, nước cộng hòa nào sau đây được thành lập ở khu vực Mĩ Latinh?",1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"    [B]  
    Reasoning:  
    - In 1959, Cuba was founded in the Mĩ Latinh region.  
    => Correct answer: B",B
history-2023-302-13,B,multiple_choice,12.0,"['Ănggôla', 'Cuba', 'Brunây', 'Malaixia']","Năm 1959, thắng lợi của cuộc cách mạng nào sau đây đã mở đầu cho cao trào đấu tranh vũ trang ở khu vực Mĩ Latinh?",1.0,,,,Sự kiện / Hoạt động,"    [B]  
    Reasoning:  
    - The Cuban Revolution in 1959 marked the beginning of a wave of revolutionary movements in Latin America.  
    => Correct answer: B",B
history-2020-301-29,D,multiple_choice,12.0,"['Libi được trao quyền tự trị.', 'Ai Cập được trao quyền tự trị.', 'Angiêri được trao quyền tự trị.', '17 nước ở châu Phi được trao trả độc lập.']",Năm 1960 được ghi nhận là “Năm châu Phi” với sự kiện nào sau đây?,,1.0,,,Sự kiện / Hoạt động,"    [D]  
    Reasoning:  
    - In 1960, 17 African countries gained independence, marking a significant milestone in the continent's struggle for self-determination.  
    => Correct answer: D",D
history-2020-303-31,B,multiple_choice,12.0,"['Angiêri được trao quyền tự trị.', '17 nước ở châu Phi được trao trả độc lập.', 'Libi được trao quyền tự trị.', 'Ai Cập được trao quyền tự trị.']","Năm 1960, lịch sử châu Phi ghi nhận sự kiện quan trọng nào sau đây?",,1.0,,,Sự kiện / Hoạt động,"    [B]  
    Reasoning:  
    - In 1960, 17 African countries gained independence.  
    => Correct answer: B",B
history-2020-303-33,C,multiple_choice,12.0,"['làm cho toàn cầu hóa trở thành một xu thế trong quan hệ quốc tế.', 'làm cho các khối quân sự đối đầu ở châu Âu bị giải thể hoàn toàn.', 'góp phần làm giảm tình trạng căng thẳng trong quan hệ quốc tế.', 'chuyển quan hệ hai nước từ thế đối đầu sang đồng minh chiến lược']","Năm 1972, Liên Xô và Mĩ kí kết Hiệp ước về việc hạn chế hệ thống phòng chống tên lửa (ABM) và Hiệp định hạn chế vũ khí tiến công chiến lược (SALT-1) da",,,1.0,,Đánh giá,"    [C]  
    Reasoning:  
    - The ABM and SALT-1 agreements were aimed at reducing nuclear arms and tensions between the superpowers.  
    - They contributed to easing international tensions and promoting stability.  
    =>",C
history-2020-301-39,D,multiple_choice,12.0,"['làm cho các khối quân sự đối đầu ở châu Âu bị giải thể hoàn toàn.', 'làm cho toàn cầu hóa trở thành một xu thế trong quan hệ quốc tế.', 'chuyển quan hệ hai nước từ thế đối đầu sang đồng minh chiến lược.', 'góp phần làm giảm tình trạng đối đầu trong quan hệ quốc tế.']","Năm 1972, Liên Xô và Mĩ kí kết Hiệp ước về việc hạn chế hệ thống phòng chống tên lửa (ABM) và Hiệp định hạn chế vũ khí tiến công chiến lược (SALT-1) đã",,,1.0,,Đánh giá,"    [D]  
    Reasoning:  
    - The ABM Treaty and SALT-1 were signed in 1972, marking a significant step towards reducing tensions between the superpowers.  
    - These agreements helped to limit",D
history-2024-301-12,A,multiple_choice,12.0,"['Mở cuộc Tổng tiến công và nổi dậy.', 'Lập ra Hội Việt Nam Cách mạng Thanh niên.', 'Tham gia Đông Dương Cộng sản liên đoàn.', 'Thành lập tổ chức Việt Nam Quốc dân đảng.']","Năm 1975, quân dân Việt Nam có hoạt động nào sau đây?",1.0,,,,Sự kiện / Hoạt động,"    [A]  
    Reasoning:  
    - In 1975, the People's Army of Vietnam launched the Great Offensive and Strategic Offensive, which marked the end of the Vietnam War.  
    => Correct answer: A",A
history-2023-302-12,B,multiple_choice,12.0,"['Cải cách văn hóa và giáo dục', 'Mở chiến dịch ở Tây Nguyên', 'Xây dựng nền kinh tế tự chủ', 'Gia nhập vào tổ chức ASEAN']","Năm 1975, quân dân miền Nam Việt Nam có hoạt động quân sự nào sau đây?",1.0,,,,Sự kiện / Hoạt động,"    [B]  
    Reasoning:  
    - In 1975, the People's Army of Vietnam (PAVN) and the National Liberation Front (NLF) launched the Tet Offensive, a major military operation against the South",B
