id,answer,question_type,grade,choices,question,nhan_biet,thong_hieu,van_dung,van_dung_cao,dang_cau_hoi,Viet-Mistral/Vistral-7B-Chat_response,Viet-Mistral/Vistral-7B-Chat_answer
history-2023-304-23,B,multiple_choice,12.0,"['để lại kinh nghiệm trong cải cách kinh tế, xã hội ở châu Á.', 'mở ra một thời đại mới trong lịch sử nước Nga và thế giới.', 'góp phần vào chiến thắng chống chủ nghĩa thực dân kiểu mới.', 'chấm dứt chế độ phân biệt chủng tộc trên toàn thế giới.']",Cách mạng tháng Mười năm 1917 ở nước Nga thắng lợi đã,,1.0,,,Kết quả / Ý nghĩa / Vai trò,"   Lập luận:
    - Cách mạng tháng Mười năm 1917 ở nước Nga thắng lợi đã dẫn đến việc thành lập Liên bang Xô Viết, đánh dấu một bước ngoặt trong lịch sử nước Nga.
    - Sự kiện này cũng có ảnh hưởng lớn đến tình hình chính trị thế giới, mở ra một thời đại mới trong lịch sử nước Nga và thế giới.
    => Đáp án đúng là B. ",A
history-2022-303-39,D,multiple_choice,12.0,"['có nhiệm vụ chống đế quốc, phong kiến để đòi tự do dân chủ.', 'chịu tác động bởi sự đối đầu giữa hai hệ thống xã hội đối lập.', 'xóa bỏ áp bức của chủ nghĩa thực dân mới,', 'thành lập được chính quyền dân chủ nhân dân.']",Cách mạng tháng Tám năm 1945 ở Việt Nam và Cách mạng Cuba năm 1959 đều,,,1.0,,"So sánh, đối chiếu","   Lập luận:
    - Cả hai cuộc cách mạng đều nhằm mục tiêu chống đế quốc, phong kiến để đòi tự do dân chủ.
    - Cách mạng tháng Tám năm 1945 ở Việt Nam nhằm xóa bỏ ách thống trị của thực dân Pháp, còn Cách mạng Cuba năm 1959 nhằm xóa bỏ ách thống trị của chủ nghĩa thực dân mới.
    => Đáp án đúng là A. ",A
history-2022-301-39,C,multiple_choice,12.0,"['chịu tác động bởi sự đối đầu giữa hai hệ thống xã hội đối lập.', 'có nhiệm vụ chống đế quốc, phong kiến để đòi tự do dân chủ.', 'được lãnh đạo bởi những lực lượng xã hội tiên tiến.', 'xóa bỏ được ách áp bức của chủ nghĩa thực dân mới.']",Cách mạng tháng Tám năm 1945 ở Việt Nam và Cách mạng Cuba năm 1959 đều,,,1.0,,"So sánh, đối chiếu","   Lập luận:
    - Cả hai cuộc cách mạng đều diễn ra trong bối cảnh đối đầu giữa hai hệ thống xã hội đối lập.
    - Cách mạng tháng Tám nhằm đánh đổ đế quốc, phong kiến, giành chính quyền, còn Cách mạng Cuba nhằm lật đổ chế độ độc tài Batista.
    => Đáp án đúng là A. ",A
history-2024-304-40,D,multiple_choice,12.0,"['Giai cấp bóc lột không thể là lực lượng cách mạng.', 'Liên minh công – nông là lực lượng lãnh đạo cách mạng.', 'Sự cần thiết phải liên minh với tư sản và đại địa chủ.', 'Quan điểm đại đoàn kết dân tộc của Nguyễn Ái Quốc.']","Cương lĩnh chính trị (đầu năm 1930) của Đảng Cộng sản Việt Nam do Nguyễn Ái Quốc soạn
thảo xác định: “Lực lượng cách mạng là công nhân, nông dân, tiểu tư sản, trí thức; còn phú nông,
trung, tiểu địa chủ và tư sản thì lợi dụng hoặc trung lập,...” (Lịch sử 12, NXB Giáo dục Việt Nam,
2020, tr. 88).
Đoạn tư liệu phản ánh nội dung nào sau đây?",,,,1.0,Đánh giá,"giữa giai cấp công nhân và nông dân.
D. Giai cấp nông dân là lực lượng đông đảo nhất trong xã hội.

    Answer: [C]
    Lập luận:
    - Cương lĩnh chính trị xác định lực lượng cách mạng là công nhân, nông dân, tiểu tư sản, trí thức.
    - Cương lĩnh cũng chỉ rõ sự cần thiết phải liên minh giữa giai cấp công nhân và nông dân.
    => Đáp án đúng là C. ",C
history-2024-303-32,B,multiple_choice,12.0,"['Lấy nhiệm vụ dân chủ làm nền tảng để giải quyết nhiệm vụ dân tộc.', 'Giải quyết hài hòa mối quan hệ giữa vấn đề dân tộc và vấn đề giai cấp.', 'Xác định các tầng lớp của giai cấp bóc lột đều là kẻ thù của cách mạng.', 'Tiến hành đồng thời cách mạng phản đế và cách mạng điền địa.']","Cương lĩnh chính trị (đầu năm 1930) của Đảng Cộng sản Việt Nam do Nguyễn Ái Quốc soạn thảo xác định: “Nhiệm vụ của cách mạng là đánh đổ đế quốc Pháp, bọn phong kiến và tư sản phản cách mạng, làm cho nước Việt Nam được độc lập tự do ...; tịch thu hết sản nghiệp lớn của đế quốc; tịch thu ruộng đất của đế quốc và bọn phản cách mạng chia cho dân cày nghèo, tiến hành cách mạng ruộng đất v.v..” (Lịch sử 12, NXB Giáo dục Việt Nam, 2020, tr. 88). Đoạn tư liệu phản ánh đúng quan điểm nào sau đây của Nguyễn Ái Quốc?",,,,1.0,Đánh giá,"giải phóng dân tộc làm trung tâm. B. Lấy nhiệm vụ giải phóng giai cấp làm trung tâm. C. Lấy nhiệm vụ giải phóng giai cấp làm trung tâm. D. Lấy nhiệm vụ giải phóng dân tộc làm trung tâm.

    Answer: [A]
    Lập luận:
    - Cương lĩnh chính trị xác định nhiệm vụ đánh đổ đế quốc, phong kiến và tư sản phản cách mạng, làm cho nước Việt Nam được độc lập tự do.
    - Nhiệm",A
history-2023-301-40,D,multiple_choice,12.0,"['Khẳng định liên minh công-nông là động lực chính của cách mạng.', 'Xác định quyền lãnh đạo cách mạng thuộc về giai cấp công nhân.', 'Xác định cách mạng Việt Nam là một bộ phận của cách mạng thế giới.', 'Giải quyết hợp lí mối quan hệ giữa vấn đề dân tộc và vấn đề giai cấp.']",Cương lĩnh chính trị của Đảng Cộng sản Việt Nam do Nguyễn Ái Quốc soạn thảo (năm 1930) được nhận xét là một cương lĩnh cách mạng giải phóng dân tộc sáng tạo dựa trên cơ sở nào sau đây?,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"   Lập luận:
    - Cương lĩnh xác định cách mạng Việt Nam là một bộ phận của cách mạng vô sản thế giới.
    - Cương lĩnh giải quyết mối quan hệ giữa vấn đề dân tộc và vấn đề giai cấp, xác định cách mạng Việt Nam là một bộ phận của cách mạng vô sản thế giới.
    => Đáp án đúng là D. ",D
history-2023-302-29,C,multiple_choice,12.0,"['lấy phát triển kinh tế công nghiệp làm trung tâm.', 'áp dụng thành tựu khoa học kĩ thuật vào sản xuất.', 'liên lạc với các dân tộc bị áp bức và vô sản thế giới.', 'chủ động hội nhập quốc tế để phát triển kinh tế.']",Cương lĩnh chính trị đầu tiên (năm 1930) của Đảng Cộng sản Việt Nam xác định cách mạng Việt Nam cần,,,1.0,,Đánh giá,"   Lập luận:
    - Cương lĩnh chính trị đầu tiên của Đảng Cộng sản Việt Nam xác định cách mạng Việt Nam cần tiến hành ""tư sản dân quyền cách mạng và thổ địa cách mạng để đi tới xã hội cộng sản"".
    - Cương lĩnh nhấn mạnh liên lạc với các dân tộc bị áp bức và vô sản thế giới, phù hợp với mục tiêu của Quốc tế Cộng sản.
    => Đáp án đúng là C. ",C
history-2022-302-24,A,multiple_choice,12.0,"['Giai cấp tư sản ra đời.', 'Công nghiệp vũ trụ ra đời', 'Trở thành siêu cường tài chính.', 'Trở thành cường quốc phần mềm.']","Dưới tác động của cuộc khai thác thuộc địa lần thứ hai do thực dân Pháp tiến hành ở Đông Dương (1919-1929), xã hội Việt Nam có chuyển biến nào sau đây?",,1.0,,,Kết quả / Ý nghĩa / Vai trò,"   Lập luận:
    - Cuộc khai thác thuộc địa lần thứ hai của Pháp đã có tác động sâu sắc đến xã hội Việt Nam.
    - Giai cấp tư sản và công nghiệp vũ trụ không xuất hiện trong giai đoạn này.
    - Việt Nam chưa trở thành siêu cường tài chính hay cường quốc phần mềm trong giai đoạn này.
    => Đáp án đúng là A. ",A
history-2020-303-22,C,multiple_choice,12.0,"['trật tự hai cực Ianta đã sụp đổ hoàn toàn.', 'Việt Nam đã kết thúc cuộc kháng chiến chống Mĩ.', 'Khối thị trường chung châu Âu đang có nhiều khởi sắc.', 'Liên Xô và Mĩ đã tuyên bố chấm dứt Chiến tranh lạnh.']",Hiệp hội các quốc gia Đông Nam Á (ASEAN) được thành lập năm 1967 trong bối cảnh,1.0,,,,Bối cảnh/Nguyên nhân,"   Lập luận:
    - ASEAN được thành lập trong bối cảnh Chiến tranh Lạnh đang diễn ra.
    - Hiệp định Paris về Việt Nam được ký kết năm 1973, kết thúc sự tham chiến của quân đội Mĩ.
    - Hiệp định Paris về Việt Nam được ký kết năm 1973, kết thúc sự tham chiến của quân đội Mĩ.
    - Hiệp định Paris về Việt Nam được ký kết năm 197",A
history-2020-304-22,A,multiple_choice,12.0,"['nhiều nước ở Đông Nam Á đã giành được độc lập', 'Việt Nam đã kết thúc cuộc kháng chiến chống Mĩ', 'Liên Xô và Mĩ đã tuyên bố chấm dứt Chiến tranh lạnh', 'trật tự hai cực Ianta đã sụp đổ hoàn toàn']",Hiệp hội các quốc gia Đông Nam Á (ASEAN) được thành lập năm 1967 trong bối cảnh,1.0,,,,Bối cảnh/Nguyên nhân,"   Lập luận:
    - ASEAN được thành lập trong bối cảnh nhiều nước ở Đông Nam Á đã giành được độc lập.
    - Việt Nam kết thúc cuộc kháng chiến chống Mĩ năm 1975, nhưng ASEAN được thành lập năm 1967.
    - Liên Xô và Mĩ tuyên bố chấm dứt Chiến tranh lạnh năm 1991, nhưng ASEAN được thành lập năm 1967.
   ",
history-2020-302-28,A,multiple_choice,12.0,"['cuộc cách mạng khoa học kĩ thuật hiện đại diễn ra mạnh mẽ.', 'Việt Nam đã kết thúc cuộc kháng chiến chống Mĩ.', 'trật tự hai cực Ianta đã sụp đổ hoàn toàn.', 'Liên Xô và Mĩ đã tuyên bố chấm dứt Chiến tranh lạnh.']",Hiệp hội các quốc gia Đông Nam Á (ASEAN) được thành lập năm 1967 trong bối cảnh,1.0,,,,Bối cảnh/Nguyên nhân,"   Lập luận:
    - ASEAN được thành lập trong bối cảnh Chiến tranh Lạnh đang diễn ra.
    - Các phương án A, C và D đều liên quan đến sự kết thúc của Chiến tranh Lạnh, không phù hợp với bối cảnh thành lập ASEAN.
    - Phương án B liên quan đến Việt Nam, nhưng không liên quan trực tiếp đến bối cảnh thành lập ASEAN.
    => Đáp án đúng là B. ",A
history-2020-301-27,B,multiple_choice,12.0,"['Liên Xô và Mĩ đã tuyên bố chấm dứt Chiến tranh lạnh.', 'một số tổ chức hợp tác mang tính khu vực đã ra đời.', 'Việt Nam đã kết thúc cuộc kháng chiến chống Mĩ.', 'trật tự hai cực Ianta đã sụp đổ hoàn toàn.']",Hiệp hội các quốc gia Đông Nam Á (ASEAN) được thành lập năm 1967 trong bối cảnh,1.0,,,,Bối cảnh/Nguyên nhân,"   Lập luận:
    - ASEAN được thành lập trong bối cảnh Chiến tranh Lạnh đang diễn ra.
    - Liên Xô và Mĩ tuyên bố chấm dứt Chiến tranh Lạnh năm 1991, sau khi ASEAN được thành lập.
    => Đáp án đúng là A. ",A
history-2023-301-31,A,multiple_choice,12.0,"['Nằm trong tiến trình giành thắng lợi từng bước để đi đến thắng lợi hoàn toàn.', 'Đều phản ánh thiện chí hòa bình của các bên tham gia kí kết hiệp định.', 'Là văn bản pháp lí ghi nhận đầy đủ các quyền dân tộc cơ bản của Việt Nam.', 'Là kết quả của những trận quyết chiến chiến lược trên mặt trận quân sự.']",Hiệp định Sơ bộ (6-3-1946) và Hiệp định Giơnevơ (21-7-1954) về Đông Dương có điểm chung nào sau đây?,,,1.0,,"So sánh, đối chiếu","   Lập luận:
    - Hiệp định Sơ bộ và Hiệp định Giơnevơ đều là kết quả của những cuộc đàm phán giữa Việt Nam và các nước lớn.
    - Cả hai hiệp định đều phản ánh thiện chí hòa bình của các bên tham gia kí kết.
    => Đáp án đúng là B. ",B
history-2022-303-26,B,multiple_choice,12.0,"['Truyền bá chủ nghĩa Mác-Lênin cho công nhân,', 'Đấu tranh đòi thực dân Anh rút về nước.', 'Đưa hội viên vào các nhà máy để hoạt động.', 'Đưa hội viên vào các đồn điền để hoạt động.']",Hoạt động nào sau đây không diễn ra trong phong trào vô sản hóa của Hội Việt Nam Cách mạng Thanh niên (1928)?,,1.0,,,Sự kiện / Hoạt động,"   Lập luận:
    - Phong trào vô sản hóa là hoạt động đưa hội viên vào các nhà máy, hầm mỏ, đồn điền để hoạt động.
    - Các hoạt động khác như truyền bá chủ nghĩa Mác-Lênin, đấu tranh đòi thực dân Anh rút về nước, đưa hội viên vào các đồn điền để hoạt động đều diễn ra trong phong trào vô sản hóa.
    => Đáp án đúng là B. ",A
history-2020-304-12,B,multiple_choice,12.0,"['Phát động nhân dân tổng khởi nghĩa.', 'Mở các lớp đào tạo cán bộ cách mạng.', 'Tổ chức ám sát trùm mộ phu Badanh.', 'Phát động khởi nghĩa Yên Bái.']",Hội Việt Nam Cách mạng Thanh niên (1925-1929) có hoạt động nào sau đây?,1.0,,,,Sự kiện / Hoạt động,"   Lập luận:
    - Hội Việt Nam Cách mạng Thanh niên là tổ chức tiền thân của Đảng Cộng sản Việt Nam.
    - Các hoạt động của Hội tập trung vào việc đào tạo cán bộ cách mạng, chuẩn bị cho sự ra đời của Đảng.
    => Đáp án đúng là B. ",B
history-2020-303-10,C,multiple_choice,12.0,"['Tổ chức ám sát trùm mộ phu Badanh.', 'Phát động khởi nghĩa Yên Bái.', 'Phát động phong trào “vô sản hóa”.', 'Phát động nhân dân tổng khởi nghĩa.']",Hội Việt Nam Cách mạng Thanh niên (1925-1929) có hoạt động nào sau đây?,1.0,,,,Sự kiện / Hoạt động,"   Lập luận:
    - Hội Việt Nam Cách mạng Thanh niên là tổ chức tiền thân của Đảng Cộng sản Việt Nam.
    - Trong giai đoạn 1925-1929, Hội chủ yếu hoạt động tuyên truyền, giáo dục, huấn luyện, tổ chức thanh niên.
    - Các hoạt động vũ trang như ám sát, khởi nghĩa không phù hợp với mục tiêu và phương pháp của Hội.
    => Đáp án đúng là C. ",C
